date;time;lng;lat;injured;killed
2020-09-24;8:30;-74.096375;40.572807;0;0
2020-09-24;8:30;-73.95475;40.696995;0;0
2020-09-24;8:31;-73.915794;40.7629;0;0
2020-09-24;8:40;-73.92291;40.62715;0;0
2020-09-24;8:45;-73.96065;40.800816;0;0
2020-09-24;8:45;-73.9564;40.655872;0;0
2020-09-24;8:50;-73.90799;40.837177;0;0
2020-09-24;8:56;-73.98876;40.735683;0;0
2020-09-24;9:00;-73.78444;40.84538;0;0
2020-09-24;9:00;-73.98897;40.67215;0;0
2020-09-24;9:09;-73.911;40.69003;2;0
2020-09-24;9:27;-73.88247;40.823303;1;0
2020-09-24;9:30;-73.73492;40.664764;0;0
2020-09-24;9:30;-73.91465;40.687504;1;0
2020-09-24;9:40;-73.93586;40.694664;0;0
2020-09-24;9:45;-73.97618;40.79672;0;0
2020-09-24;9:50;-73.89317;40.820545;0;0
2020-09-24;9:50;-73.844734;40.78801;0;0
2020-09-23;0:00;-73.98252;40.69361;0;0
2020-09-23;0:00;-73.99838;40.61483;0;0
2020-09-23;0:01;-73.94375;40.838474;0;0
2020-09-23;0:05;-73.920006;40.865795;0;0
2020-09-23;0:30;-74.00146;40.676834;0;0
2020-09-23;0:35;-73.925674;40.861256;0;0
2020-09-23;0:35;-73.96043;40.818016;0;0
2020-09-23;0:40;-73.87713;40.895466;0;0
2020-09-23;0:42;-73.967735;40.697716;0;0
2020-09-23;0:42;-73.93368;40.637157;1;0
2020-09-23;0:48;-73.93927;40.653267;1;0
2020-09-23;10:00;-73.992615;40.60218;0;0
2020-09-23;10:00;-73.91282;40.78012;0;0
2020-09-23;10:00;-73.852585;40.745506;0;0
2020-09-23;10:00;-73.840965;40.7422;0;0
2020-09-23;10:00;-73.88233;40.85106;1;0
2020-09-23;10:05;-73.88779;40.86805;0;0
2020-09-23;10:10;-73.92426;40.743805;0;0
2020-09-23;10:11;-73.92879;40.68157;0;0
2020-09-23;10:15;-73.86317;40.83553;0;0
2020-09-23;10:19;-74.08212;40.619606;0;0
2020-09-23;10:20;-73.82981;40.88152;0;0
2020-09-23;10:23;-73.84077;40.7925;1;0
2020-09-23;10:30;-73.93541;40.84243;0;0
2020-09-23;10:45;-73.8049;40.69585;0;0
2020-09-23;10:45;-74.15278;40.628117;0;0
2020-09-23;10:50;-73.82711;40.724266;1;0
2020-09-23;11:00;-73.89038;40.676594;0;0
2020-09-23;11:00;-74.19378;40.535835;1;0
2020-09-23;11:10;-73.90878;40.698254;1;0
2020-09-23;11:11;-73.7272;40.65973;0;0
2020-09-23;11:15;-74.11302;40.630238;0;0
2020-09-23;11:15;-73.891136;40.85869;1;0
2020-09-23;11:15;-73.90092;40.734123;1;0
2020-09-23;11:16;-73.90829;40.758556;0;0
2020-09-23;11:17;-73.94924;40.742523;0;0
2020-09-23;11:23;-73.92936;40.64213;0;0
2020-09-23;11:25;-73.90884;40.725388;0;0
2020-09-23;11:26;-73.899445;40.874157;0;0
2020-09-23;11:30;-73.906105;40.877068;0;0
2020-09-23;11:35;-73.928764;40.829185;0;0
2020-09-23;11:40;-73.98656;40.633488;0;0
2020-09-23;11:40;-73.95925;40.720627;0;0
2020-09-23;11:41;-74.02901;40.633995;0;0
2020-09-23;11:43;-73.91778;40.624763;2;0
2020-09-23;11:45;-74.18356;40.548103;0;0
2020-09-23;11:45;-73.80954;40.689785;0;0
2020-09-23;11:48;-73.931335;40.66059;0;0
2020-09-23;11:50;-73.95771;40.779495;0;0
2020-09-23;11:50;-73.961075;40.760857;0;0
2020-09-23;11:58;-73.83788;40.821785;2;0
2020-09-23;12:00;-73.98703;40.69768;0;0
2020-09-23;12:00;-73.90269;40.675785;0;0
2020-09-23;12:00;-73.79326;40.685436;0;0
2020-09-23;12:15;-73.91797;40.806114;0;0
2020-09-23;12:15;-73.87528;40.713135;1;0
2020-09-23;12:16;-74.15045;40.585266;2;0
2020-09-23;12:20;-73.81173;40.66669;1;0
2020-09-23;12:30;-73.99085;40.574326;0;0
2020-09-23;12:30;-73.7772;40.758255;1;0
2020-09-23;12:42;-73.8905;40.689617;0;0
2020-09-23;12:50;-73.98869;40.696198;0;0
2020-09-23;12:50;-73.94749;40.71277;2;0
2020-09-23;13:00;-73.923386;40.80843;0;0
2020-09-23;13:00;-73.986565;40.761658;1;0
